trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.6, 'e': 1.0}",20,0,-181.7125281740224,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
148,False,"{'a': 0.6, 'e': 1.0}",30,8,-137.87131189594407,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 2}",1
149,False,"{'a': 0.6, 'e': 1.0}",20,0,-139.06408354606293,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
150,False,"{'a': 0.6, 'e': 1.0}",20,0,-40.001376709468445,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
151,False,"{'a': 0.6, 'e': 1.0}",35,7,-194.72512540581522,"{0: 14, 1: 4, 2: 4, 3: 4, 4: 2}",1
152,False,"{'a': 0.6, 'e': 1.0}",25,0,-39.62126935025402,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
153,False,"{'a': 0.6, 'e': 1.0}",30,0,-63.51212642140903,"{0: 21, 1: 5, 2: 2, 3: 2, 4: 0}",0
154,False,"{'a': 0.6, 'e': 1.0}",25,0,-117.3551801529419,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
155,False,"{'a': 0.6, 'e': 1.0}",35,2,-179.59110168844558,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 3}",1
156,False,"{'a': 0.6, 'e': 1.0}",30,0,-193.71827578338025,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
157,False,"{'a': 0.6, 'e': 1.0}",25,0,-240.6544676070307,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
158,False,"{'a': 0.6, 'e': 1.0}",25,0,-244.99199523709805,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
159,False,"{'a': 0.6, 'e': 1.0}",20,0,-148.55578867804303,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
160,False,"{'a': 0.6, 'e': 1.0}",20,0,-129.69336146305258,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.6, 'e': 1.0}",20,0,-69.08092890687534,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
162,False,"{'a': 0.6, 'e': 1.0}",35,0,-233.45237291303988,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
163,False,"{'a': 0.6, 'e': 1.0}",25,0,-260.61087135313034,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}",0
164,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-179.69417155190703,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
165,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-159.0104221448669,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
166,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-111.67608755958662,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
167,False,"{'a': 0.6, 'e': 0.9999999999999998}",30,0,-185.94752357851556,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
168,False,"{'a': 0.6, 'e': 0.9999999999999998}",35,0,-142.95420033968168,"{0: 24, 1: 4, 2: 3, 3: 2, 4: 2}",0
169,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,11,-59.64994246998711,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.9999999999999998}",30,0,-193.51543331256374,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
171,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-122.3487578777722,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
172,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,2,-92.08443672417829,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 1}",1
173,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-84.95279702016951,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
174,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-8.037359693298566,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-117.46421859591298,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
176,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-17.012417911664137,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-102.79790248046375,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
178,False,"{'a': 0.6, 'e': 0.9999999999999998}",35,7,-58.373265623411704,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-86.07983788893415,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
180,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-111.57438239402131,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
181,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-72.21628208016807,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
182,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-128.34260238573899,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
183,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-154.4339802705789,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
184,False,"{'a': 0.6, 'e': 0.9999999999999998}",25,0,-114.13621597722725,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
185,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-23.573654742328305,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
186,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-47.045620499003554,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
187,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-101.6985286253672,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
188,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-86.49738210887502,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
189,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-26.6098049127127,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
190,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-71.63201410806695,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
191,False,"{'a': 0.6, 'e': 0.9999999999999998}",30,0,-185.18327693227982,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
192,False,"{'a': 0.6, 'e': 0.9999999999999998}",20,0,-17.966969784712482,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
